use_case_id,use_case_name,primary_competency,secondary_competencies,problem_statement,typical_customer_trigger,technical_core,rag_retrieval_role,gtm_intelligence_required,common_failure_modes,riu_mapping,artifacts_expected,one_way_doors,sop_phase_order,external_research_focus,internal_research_focus,success_metrics
UC-001,Enterprise AI Discovery & Scoping,Discovery & Scoping,Org Navigation; GTM Alignment,Customer wants to "use GenAI" but lacks clear problem definition or success criteria,"We want to use GenAI / ChatGPT internally",Use-case decomposition; system constraints analysis,Light (retrieve examples & analogs),HIGH,"Mis-scoped builds; wrong stakeholders; unclear ROI",RIU-001; RIU-ORG,Convergence Brief; stakeholder map; success metrics,Scope commitment,1,Market use cases; vertical AI adoption patterns,AWS GTM discovery playbooks; WAF-aligned scoping,Clear use case; signed success criteria
UC-002,RAG over Enterprise Documents,RAG & Retrieval,Data Validation; Integration,Customer needs accurate answers from internal documents,"We have thousands of PDFs / Confluence / SharePoint",Embedding pipelines; chunking; retrieval evals,CORE (retrieval is the product),HIGH,"Hallucinations; stale data; wrong chunking",RIU-003; RIU-DATA; RIU-014,RAG architecture; eval harness; ingestion pipeline,Indexing & schema choice,2,RAG best practices; eval benchmarks,AWS RAG reference architectures; Bedrock patterns,Answer accuracy; latency; eval scores
UC-003,Secure Enterprise Auth & SSO Integration,Integration & System Design,Security; Compliance,Deployment blocked by security review,"We need SSO / OAuth / SAML",Auth architecture; IAM patterns,None (supporting only),CRITICAL,"Security review stalls; over-permissioning",RIU-AUTH; RIU-003,Auth diagrams; security checklist,Auth architecture choice,2,Enterprise auth patterns; OAuth vs SAML,AWS IAM; Cognito; enterprise security playbooks,Security approval; time-to-go-live
UC-004,PII / Regulated Data AI System,Data Validation & Governance,Security; Compliance,AI system touches sensitive data,"This includes PII / HIPAA / GDPR data",Data lineage; masking; governance,Low (policy lookup),CRITICAL,"Compliance rejection; data leakage",RIU-DATA; RIU-AUTH; RIU-014,Data schemas; governance docs,Data handling design,2,Regulatory requirements by industry,AWS compliance architectures; shared responsibility,Compliance signoff; zero incidents
UC-005,AI POC to Production Transition,Production Reliability,Iteration; Monitoring,POC works but prod fails,"It worked in the demo, not in prod",Scaling; observability; SLAs,Medium (incident context),HIGH,"Silent failures; missing SLAs",RIU-014; RIU-010,Runbooks; dashboards; SLA docs,Production SLA,3,ML systems in production failure modes,AWS Well-Architected ML Lens,Uptime; MTTR
UC-006,Model Evaluation & Quality Framework,Iteration Under Ambiguity,Data Validation,Customer questions model quality,"How do we know it's good?",Eval harness; metrics; baselines,Medium (benchmark retrieval),MEDIUM,"No evals; subjective quality claims",RIU-010; RIU-DATA,Eval reports; scorecards,Metric selection,3,LLM eval research; benchmarks,AWS eval tooling; internal metrics standards,Stable eval scores
UC-007,Agentic Workflow Design,Pattern Extraction & Scale,Integration; Iteration,Customer wants multi-step agents,"We want agents, not chatbots",Tool orchestration; state mgmt,Medium (tool retrieval),HIGH,"Over-complex agents; brittle flows",RIU-003; RIU-PATTERN,Agent flow diagrams; guardrails,Agent architecture,3,Agent frameworks comparison,AWS agent reference designs,Task success rate
UC-008,Enterprise Org Buy-In & Rollout,Org Navigation,GTM; Change Mgmt,Project stalls due to politics,"I need approval from X",Stakeholder mapping,None,CRITICAL,"Blocked deployments",RIU-ORG,Stakeholder map; comms plan,Engagement strategy,1,Enterprise change management,AWS enterprise escalation playbooks,Decision velocity
UC-009,Data Pipeline Integration for AI,Integration & System Design,Data Validation,Data sources are messy / legacy,"Our data is everywhere",ETL; schema mapping,Low,MEDIUM,"Schema mismatch; pipeline fragility",RIU-003; RIU-DATA,Data diagrams; validation tests,Schema lock-in,2,Modern data stack patterns,AWS Glue/Lakehouse patterns,Pipeline reliability
UC-010,Observability for AI Systems,Production Reliability,Iteration,No visibility into AI behavior,"How do we monitor this?",Metrics; tracing; alerts,Low,MEDIUM,"Unknown failures",RIU-014,Dashboards; alerts,Monitoring design,3,ML observability tools,AWS monitoring stacks,Incident detection time
UC-011,Customer-Specific Demo Engineering,GTM Enablement,Discovery; Narrative,Sales needs custom demo,"Can you demo this for our data?",Demo pipelines; synthetic data,Medium,MEDIUM,"Overfitting demo; tech debt",RIU-001; RIU-010,Demo env; scripts,Demo scope,1,Effective AI demos,AWS demo factories; SE playbooks,Deal progression
UC-012,Post-Engagement Pattern Extraction,Pattern Extraction & Scale,Documentation,Work solved once but not reused,"We solved this already",Abstraction; generalization,None,LOW,"Heroics don't scale",RIU-PATTERN,Reusable modules; docs,Pattern promotion,4,Platformization patterns,AWS internal reuse frameworks,Reuse count
