riu_id,name,problem_pattern,execution_intent,workstreams,coordinates,trigger_signals,artifacts,reversibility,success_conditions,failure_modes,dependencies,agent_types,notes
RIU-001,Convergence Brief (Single-Page Source of Truth),"Engagement starts underspecified; stakeholders differ on goals, constraints, and non-goals.","Create a Convergence Brief (Semantic Blueprint) capturing: Goal (success criteria), Roles (human vs agent responsibilities), Capabilities (agents/tools needed), Constraints (binding requirements), Non-goals (explicit out-of-scope), plus risks, open questions, and next decisions.",Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",new engagement | conflicting asks | paid commitment | rebrand messaging risk,convergence_brief.md | assumptions.md | open_questions.md,two_way,"{""execution"": ""Brief published and accepted as the current baseline."", ""outcome"": ""Fewer scope re-litigations; faster decision velocity."", ""safety_quality"": ""Non-goals prevent accidental commitments.""}","{""silent"": [""scope creep via untracked asks""], ""loud"": [""stakeholder disagreement""], ""clustered"": [""multi-team engagements with unclear owner""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Argentavis | ARK:Velociraptor,
RIU-002,Stakeholder Map + RACI-lite,Decisions are slow or blocked because ownership and approval paths are unclear.,Map deciders/influencers/approvers; define RACI-lite for key artifacts and escalation path.,Clarify & Bound | Adoption & Change,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,stakeholder_map.md | raci_lite.md | escalation_path.md,two_way,"{""execution"": ""Owners assigned to every key decision/artifact."", ""outcome"": ""Approvals speed up; fewer surprises."", ""safety_quality"": ""Escalation path prevents deadlock.""}","{""silent"": [""implicit approvers appear late""], ""loud"": [""stakeholder refuses scope""], ""clustered"": [""regulated/enterprise customers""]}",,Human:Delivery | ARK:Argentavis,
RIU-003,Decision Log + One-Way Door Registry,Half-decisions and hidden commitments accumulate under pressure.,"Maintain decisions.md: decisions, reversibility, rationale, rejected alternatives, escalation status.",Clarify & Bound | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,decisions.md,two_way,"{""execution"": ""Every irreversible decision is explicitly flagged and referenced."", ""outcome"": ""System is restartable/handoff-safe."", ""safety_quality"": ""Prevents silent one-way door drift.""}","{""silent"": [""decisions made in chat but not recorded""], ""loud"": [""contradictory decisions""], ""clustered"": [""fast-moving prototypes""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Velociraptor,
RIU-004,Problem → Workstream Decomposition (Non-Commit),Need expansive decomposition without committing to a plan.,Generate broad candidate workstreams + RIUs (non-commit). Human confirms active subset in decisions.md.,Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,candidate_workstreams.yaml | candidate_rius.yaml,two_way,"{""execution"": ""Candidate set is broad & understandable; no silent narrowing."", ""outcome"": ""Human can select/decline quickly."", ""safety_quality"": ""Gaps surfaced explicitly.""}","{""silent"": [""premature narrowing""], ""loud"": [""too many irrelevant candidates""], ""clustered"": [""novel domains""]}",,ARK:Tyrannosaurus | ARK:Argentavis | ARK:Argentavis,
RIU-005,Scope Freeze + Phased Delivery Contract,Customer expects fast delivery; scope must be bounded into phases.,Define Phase 0/1/2 deliverables with acceptance criteria and rollback expectations.,Clarify & Bound | Ops & Delivery,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,phase_plan.md | acceptance_criteria.md,mixed,"{""execution"": ""Phase 0 delivers value quickly; Phase 1 bounded; Phase 2 optional."", ""outcome"": ""Expectations align; fewer surprises."", ""safety_quality"": ""No external commitments without one-way door sign-off.""}","{""silent"": [""phase creep""], ""loud"": [""customer rejects phased approach""], ""clustered"": [""paid but missing requirements""]}",,Human:Delivery | ARK:Tyrannosaurus,
RIU-006,Success Metrics Charter,Undefined success leads to churn and rework.,Define outcome metrics + leading indicators + acceptance checks; align with stakeholders.,Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",debates about 'good' | no KPI,success_metrics_charter.md | acceptance_checks.md,two_way,"{""execution"": ""Metrics charter agreed."", ""outcome"": ""Faster acceptance decisions."", ""safety_quality"": ""Prevents scope ambiguity.""}","{""silent"": [""metrics gamed""], ""loud"": [""no baseline data""], ""clustered"": [""multiple personas""]}",,Human:Delivery | ARK:Tyrannosaurus | ARK:Argentavis,
RIU-007,Constraint Profile Capture,"Hidden constraints (latency, compliance, budget) break design late.",Capture constraint profile; rank fixed vs negotiable constraints; record in decisions.md.,Clarify & Bound,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",security asks | latency SLA | budget cap,constraint_profile.md,two_way,"{""execution"": ""Constraints explicit and prioritized."", ""outcome"": ""Design choices become faster."", ""safety_quality"": ""Avoids late surprises.""}","{""silent"": [""unstated constraints""], ""loud"": [""constraints conflict""], ""clustered"": [""enterprise security""]}",,Human:Delivery | ARK:Velociraptor,
RIU-008,Assumptions Register,Work proceeds on assumptions; they must be explicit and testable.,Record assumptions with validation plan and expiry; escalate if assumption implies a one-way door.,Clarify & Bound | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,assumptions.md | assumption_tests.md,two_way,"{""execution"": ""Assumptions visible and testable."", ""outcome"": ""Wrong assumptions detected early."", ""safety_quality"": ""Reduces hidden debt.""}","{""silent"": [""assumptions forgotten""], ""loud"": [""assumption disproved late""], ""clustered"": [""novel domains""]}",,Human:Delivery | ARK:Velociraptor,
RIU-009,Risk Register + Mitigation Plan,Delivery risks need containment and owner assignment.,"Maintain risk register with mitigations, owners, and triggers; update on cadence.",Clarify & Bound | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,risk_register.md,two_way,"{""execution"": ""Risks have owners and mitigations."", ""outcome"": ""Fewer surprises."", ""safety_quality"": ""Escalation is timely.""}","{""silent"": [""risks not revisited""], ""loud"": [""risk realized without plan""], ""clustered"": [""tight timelines""]}",,Human:Delivery,
RIU-010,Access & Permissions Readiness Checklist,"Blocked delivery due to missing credentials, network access, or unclear data movement constraints.",Produce least-privilege access checklist and smoke tests for read/write boundaries.,Interfaces & Inputs | Quality & Safety,"{""industry"": ""*"", ""category"": ""*"", ""use_case"": ""*""}",,access_checklist.md | access_smoketests/ | network_requirements.md,two_way,"{""execution"": ""Required access provisioned + tested."", ""outcome"": ""No access-related schedule slips."", ""safety_quality"": ""Least-privilege and audit expectations explicit.""}","{""silent"": [""over-privileged tokens""], ""loud"": [""blocked network path""], ""clustered"": [""enterprise VPN / VPC""]}",,Human:Delivery | ARK:Therizinosaurus | ARK:Velociraptor,
